,state,year,month,tavg,tmax,tmin,pcp,cdd,hdd,pdsi,phdi,pmdi,zndx,all_cause,natural_cause,septicemia_a40_a41,malignant_neoplasms_c00_c97,diabetes_mellitus_e10_e14,alzheimer_disease_g30,influenza_and_pneumonia_j09_j18,chronic_lower_respiratory,other_diseases_of_respiratory,nephritis_nephrotic_syndrome,symptoms_signs_and_abnormal,diseases_of_heart_i00_i09,cerebrovascular_diseases,covid_19_u071_multiple_cause_of_death,covid_19_u071_underlying_cause_of_death
0,Alabama,2020,01,49.5,59.8,39.2,7.44,21.0,524.0,1.7,1.7,1.7,1.89,4304.0,4027.0,84.0,784.0,89.0,202.0,115.0,292.0,65.0,85.0,106.0,1065.0,264.0,0.0,0.0
1,Alabama,2020,02,51.0,61.2,40.7,10.37,9.0,429.0,2.99,2.99,2.99,4.38,5503.0,5108.0,95.0,975.0,121.0,262.0,149.0,373.0,92.0,95.0,115.0,1403.0,322.0,0.0,0.0
2,Alabama,2020,03,63.5,73.9,53.2,6.18,90.0,173.0,2.34,2.34,1.86,-1.02,4280.0,3941.0,66.0,758.0,104.0,243.0,116.0,277.0,100.0,87.0,79.0,1037.0,267.0,23.0,20.0
3,Alabama,2020,04,62.0,74.6,49.4,7.1,37.0,155.0,2.71,2.71,2.71,1.84,4579.0,4223.0,92.0,751.0,128.0,254.0,83.0,247.0,77.0,73.0,84.0,1036.0,257.0,304.0,285.0
4,Alabama,2020,05,68.9,80.8,57.0,3.64,142.0,42.0,2.36,2.36,2.2,-0.22,5728.0,5235.0,98.0,954.0,130.0,264.0,92.0,301.0,83.0,96.0,102.0,1358.0,265.0,478.0,446.0
5,Alabama,2020,06,76.9,87.1,66.7,5.16,343.0,0.0,2.51,2.51,2.51,1.19,4552.0,4173.0,82.0,808.0,88.0,209.0,55.0,244.0,67.0,73.0,77.0,1093.0,235.0,363.0,337.0
6,Alabama,2020,07,80.9,90.7,71.0,5.3,480.0,0.0,2.23,2.23,2.13,-0.07,5088.0,4747.0,75.0,853.0,113.0,254.0,64.0,264.0,41.0,76.0,94.0,1159.0,265.0,703.0,654.0
7,Alabama,2020,08,80.2,90.1,70.4,5.78,457.0,0.0,2.52,2.52,2.52,1.57,6567.0,6112.0,65.0,925.0,127.0,265.0,100.0,338.0,88.0,93.0,114.0,1434.0,345.0,1151.0,1077.0
8,Alabama,2020,09,74.3,83.5,65.0,6.0,265.0,6.0,3.05,3.05,3.05,2.36,4831.0,4521.0,78.0,839.0,107.0,248.0,63.0,255.0,64.0,73.0,70.0,1071.0,229.0,538.0,506.0
9,Alabama,2020,10,66.9,78.0,55.8,5.11,116.0,81.0,3.6,3.6,3.6,2.6,5808.0,5393.0,89.0,955.0,123.0,281.0,93.0,278.0,89.0,93.0,83.0,1376.0,284.0,624.0,569.0
10,Alabama,2020,11,58.4,70.4,46.4,2.75,27.0,250.0,2.87,2.87,2.39,-1.08,5147.0,4782.0,66.0,825.0,109.0,244.0,61.0,238.0,64.0,101.0,88.0,1143.0,238.0,697.0,647.0
11,Alabama,2020,12,45.9,58.0,33.8,3.84,2.0,619.0,2.29,2.29,1.43,-0.85,6163.0,5807.0,87.0,795.0,156.0,290.0,83.0,257.0,93.0,89.0,101.0,1238.0,266.0,1471.0,1386.0
12,Alabama,2021,01,46.6,56.5,36.8,3.72,13.0,612.0,1.62,1.62,0.22,-1.33,8878.0,8403.0,95.0,1036.0,193.0,342.0,104.0,351.0,124.0,130.0,141.0,1656.0,334.0,2725.0,2587.0
13,Alabama,2021,02,46.7,57.6,35.8,4.22,3.0,546.0,1.19,1.19,-0.46,-0.77,5588.0,5219.0,94.0,794.0,113.0,251.0,80.0,239.0,87.0,73.0,81.0,1268.0,276.0,996.0,926.0
14,Alabama,2021,03,59.6,71.5,47.8,8.05,48.0,240.0,1.38,1.38,0.11,0.93,4602.0,4193.0,86.0,700.0,104.0,203.0,83.0,215.0,82.0,93.0,83.0,1065.0,253.0,373.0,326.0
15,Alabama,2021,04,61.6,74.6,48.6,5.55,30.0,153.0,1.45,1.45,0.4,0.63,4594.0,4179.0,91.0,827.0,128.0,181.0,80.0,229.0,81.0,72.0,81.0,1078.0,240.0,208.0,182.0
16,Alabama,2021,05,69.4,81.0,57.8,4.69,151.0,36.0,1.55,1.55,0.74,0.75,5618.0,5130.0,102.0,998.0,129.0,257.0,80.0,320.0,104.0,110.0,91.0,1405.0,279.0,242.0,211.0
17,Alabama,2021,06,76.9,86.7,67.2,8.73,340.0,0.0,2.99,2.99,2.99,4.8,4406.0,3995.0,87.0,764.0,112.0,172.0,75.0,250.0,72.0,86.0,67.0,1115.0,255.0,130.0,107.0
18,Alabama,2021,07,79.4,88.5,70.2,7.49,431.0,0.0,3.52,3.52,3.52,2.52,5525.0,5009.0,119.0,970.0,146.0,232.0,80.0,282.0,75.0,104.0,99.0,1330.0,275.0,274.0,254.0
19,Alabama,2021,08,79.9,89.3,70.6,7.43,448.0,0.0,4.46,4.46,4.46,3.91,5967.0,5599.0,81.0,812.0,152.0,195.0,61.0,266.0,65.0,80.0,94.0,1223.0,269.0,1468.0,1401.0
20,Alabama,2021,09,74.0,83.7,64.2,4.83,258.0,7.0,4.58,4.58,4.58,1.74,6393.0,5978.0,81.0,760.0,124.0,213.0,91.0,231.0,66.0,96.0,90.0,1190.0,263.0,1929.0,1856.0
21,Alabama,2021,10,67.4,77.8,57.0,4.6,128.0,70.0,4.86,4.86,4.86,2.25,6477.0,5962.0,108.0,989.0,153.0,231.0,95.0,292.0,83.0,100.0,116.0,1343.0,295.0,1098.0,1034.0
22,Alabama,2021,11,52.2,65.6,38.8,1.19,4.0,410.0,3.7,3.7,2.9,-1.97,4668.0,4341.0,94.0,802.0,146.0,206.0,75.0,269.0,77.0,85.0,87.0,1051.0,259.0,281.0,248.0
